Time,T1,T2,Q1,Q2
0,20.898,21.156,0,0
1,20.898,21.188,60,0
2,20.898,21.156,60,0
3,20.898,21.188,60,0
4,20.898,21.221,60,0
5.01,20.898,21.156,60,0
6.01,20.898,21.221,60,0
7,20.898,21.124,60,0
8,20.898,21.221,60,0
9,20.898,21.156,60,0
10,20.898,21.124,60,0
11,20.898,21.124,60,0
12,20.963,21.188,60,0
13,21.06,21.188,60,0
14,21.188,21.188,60,0
15,21.221,21.124,60,0
16.01,21.221,21.221,60,0
17,21.221,21.188,60,0
18,21.285,21.156,60,0
19,21.479,21.188,60,0
20,21.543,21.188,60,0
21,21.543,21.156,60,0
22.01,21.575,21.188,60,0
23.01,21.736,21.092,60,0
24.01,21.833,21.156,60,0
25,21.865,21.156,60,0
26,21.897,21.188,60,0
27,22.059,21.188,60,0
28,22.188,21.221,60,0
29,22.22,21.188,60,0
30,22.381,21.188,60,0
31,22.51,21.221,60,0
32,22.574,21.221,60,0
33,22.8,21.221,60,0
34,22.832,21.221,60,0
35.01,22.896,21.221,60,0
36.01,23.122,21.221,60,0
37.01,23.154,21.221,60,0
38,23.251,21.221,60,0
39.01,23.477,21.221,60,0
40,23.477,21.221,60,0
41,23.767,21.221,60,0
42,23.799,21.221,60,0
43.01,23.863,21.221,60,0
44,24.121,21.221,60,0
45.01,24.121,21.221,60,0
46,24.411,21.221,60,0
47,24.443,21.253,60,0
48,24.476,21.221,60,0
49,24.766,21.35,60,0
50.01,24.766,21.317,60,0
51,25.023,21.35,60,0
52,25.088,21.35,60,0
53,25.152,21.446,60,0
54,25.41,21.511,60,0
55,25.41,21.479,60,0
56,25.7,21.511,60,0
57,25.732,21.543,60,0
58,25.765,21.511,60,0
59,26.055,21.543,60,0
60,26.055,21.543,60,0
61.01,26.184,21.543,60,0
62,26.377,21.543,60,0
63,26.409,21.543,60,0
64,26.603,21.543,60,0
65.01,26.699,21.543,60,0
66,26.796,21.543,60,0
67.01,27.021,21.543,60,0
68.01,27.021,21.64,60,0
69.01,27.215,21.575,60,0
70,27.344,21.672,60,0
71,27.408,21.801,60,0
72,27.634,21.736,60,0
73,27.666,21.833,60,0
74,27.827,21.833,60,0
75,27.988,21.865,60,0
76,28.021,21.865,60,0
77,28.246,21.865,60,0
78,28.311,21.865,60,0
79,28.472,21.865,60,0
80,28.633,21.865,60,0
81.01,28.633,21.897,60,0
82.01,28.762,21.865,60,0
83.01,28.955,21.994,60,0
84,28.987,22.059,60,0
85,29.277,21.962,60,0
86.01,29.277,22.123,60,0
87,29.567,22.188,60,0
88.01,29.6,22.188,60,0
89,29.6,22.188,60,0
90.01,29.922,22.188,60,0
91.01,29.922,22.188,60,0
92.01,29.922,22.188,60,0
93.01,30.244,22.188,60,0
94.01,30.244,22.22,60,0
95,30.502,22.22,60,0
96.01,30.566,22.349,60,0
97,30.566,22.188,60,0
98,30.856,22.478,60,0
99.01,30.889,22.445,60,0
100,30.889,22.51,60,0
101,30.953,22.51,60,0
102,31.211,22.51,60,0
103,31.211,22.51,60,0
104,31.211,22.51,60,0
105,31.437,22.51,60,0
106,31.533,22.542,60,0
107,31.533,22.51,60,0
108,31.598,22.51,60,0
109.01,31.565,22.51,60,0
110,31.855,22.606,60,0
111,31.92,22.735,60,0
112.01,32.178,22.768,60,0
113.01,32.178,22.832,60,0
114,32.242,22.832,60,0
115,32.436,22.832,60,0
116,32.5,22.832,60,0
117.01,32.5,22.832,60,0
118.01,32.758,22.896,60,0
119.01,32.822,22.929,60,0
120.01,32.822,22.993,60,0
121,32.887,22.896,60,0
122,32.887,22.929,60,0
123,33.145,22.993,60,0
124,33.145,23.154,60,0
125,33.209,23.122,60,0
126,33.435,23.154,60,0
127,33.467,23.154,60,0
128,33.467,23.154,60,0
129,33.66,23.154,60,0
130,33.789,23.154,60,0
131,33.789,23.154,60,0
132,33.821,23.187,60,0
133.01,34.111,23.187,60,0
134,34.111,23.187,60,0
135,34.176,23.315,60,0
136,34.434,23.477,60,0
137,34.434,23.412,60,0
138,34.498,23.477,60,0
139,34.691,23.477,60,0
140.01,34.756,23.477,60,0
141.01,34.756,23.477,60,0
142.01,34.853,23.509,60,0
143.01,35.046,23.509,60,0
144.01,35.078,23.734,60,0
145,35.11,23.734,60,0
146,35.4,23.799,60,0
147,35.4,23.799,60,0
148,35.4,23.799,60,0
149,35.497,23.799,60,0
150,35.723,23.863,60,0
151,35.723,23.799,60,0
152,35.723,23.831,60,0
153,35.723,23.992,60,0
154,35.787,24.024,60,0
155.01,36.013,24.089,60,0
156.01,35.98,24.121,60,0
157.01,36.045,24.121,60,0
158,36.045,24.121,60,0
159,36.045,24.121,60,0
160,36.142,24.121,60,0
161,36.109,24.121,60,0
162,36.271,24.121,60,0
163.01,36.367,24.121,60,0
164,36.367,24.121,60,0
165.01,36.367,24.186,60,0
166,36.367,24.186,60,0
167,36.625,24.186,60,0
168,36.689,24.411,60,0
169,36.689,24.443,60,0
170,36.851,24.443,60,0
171,37.012,24.443,60,0
172,37.012,24.443,60,0
173.01,37.012,24.476,60,0
174.01,37.27,24.443,60,0
175,37.334,24.443,60,0
176,37.334,24.54,60,0
177.01,37.431,24.701,60,0
178.01,37.624,24.701,60,0
179.01,37.656,24.766,60,0
180.01,37.656,24.766,60,0
181,37.688,24.766,60,0
182,37.817,24.766,60,0
183,37.946,24.766,60,0
184,37.979,24.766,60,0
185.01,37.979,24.766,60,0
186.01,38.011,24.798,60,0
187.01,38.236,24.991,60,0
188.01,38.301,25.023,60,0
189,38.301,25.056,60,0
190,38.301,25.088,60,0
191,38.365,25.088,60,0
192,38.591,25.088,60,0
193,38.591,25.12,60,0
194,38.623,25.088,60,0
195.01,38.752,25.088,60,0
196,38.945,25.185,60,0
197.01,38.945,25.281,60,0
198,38.945,25.313,60,0
199.01,39.042,25.41,60,0
200.01,39.235,25.41,60,0
201.01,39.268,25.41,60,0
202.01,39.268,25.41,60,0
203,39.268,25.41,60,0
204,39.268,25.442,60,0
205,39.461,25.507,60,0
206.01,39.59,25.571,60,0
207.01,39.59,25.41,60,0
208,39.59,25.7,60,0
209.01,39.622,25.732,60,0
210.01,39.622,25.604,60,0
211,39.751,25.732,60,0
212,39.719,25.732,60,0
213,39.622,25.732,60,0
214,39.783,25.765,60,0
215,39.59,25.765,60,0
216,39.815,25.732,60,0
217,39.912,25.861,60,0
218,39.912,25.958,60,0
219,39.912,25.99,60,0
220,39.944,26.055,60,0
221,40.009,26.055,60,0
222.01,39.912,25.732,60,0
223,39.912,25.636,60,0
224,40.105,25.797,60,0
225.01,40.234,26.055,60,0
226.01,40.331,26.055,60,0
227,40.234,26.055,60,0
228.01,40.557,26.184,60,0
229.01,40.557,26.184,60,0
230.01,40.557,26.055,60,0
231.01,40.557,26.313,60,0
232.01,40.589,26.184,60,0
233,40.557,26.216,60,0
234,40.718,26.345,60,0
235,40.847,26.377,60,0
236,40.879,26.345,60,0
237,40.879,26.377,60,0
238,40.879,26.377,60,0
239,40.911,26.28,60,0
240,40.943,26.377,60,0
241,40.234,26.377,60,0
242.01,41.201,26.377,60,0
243,41.201,26.377,60,0
244.01,41.201,26.409,60,0
245.01,41.201,26.409,60,0
246.01,41.201,26.441,60,0
247.01,41.201,26.635,60,0
248,41.266,26.635,60,0
249,40.847,26.377,60,0
250,41.523,26.699,60,0
251.01,41.523,26.699,60,0
252.01,41.523,26.667,60,0
253.01,41.556,26.699,60,0
254.01,41.523,26.699,60,0
255,41.717,26.699,60,0
256,41.846,26.796,60,0
257,41.846,26.828,60,0
258,41.846,26.925,60,0
259,41.942,26.989,60,0
260,42.104,27.021,60,0
261,42.071,27.021,60,0
262,42.168,27.021,60,0
263,42.168,27.021,60,0
264.01,42.168,27.021,60,0
265,42.168,27.021,60,0
266.01,42.232,27.021,60,0
267.01,42.297,27.021,60,0
268,42.458,27.021,60,0
269.01,42.49,27.054,60,0
270,42.49,27.15,60,0
271,42.49,27.215,60,0
272,42.684,27.344,60,0
273.01,42.813,27.279,60,0
274.01,42.813,27.344,60,0
275,42.813,27.344,60,0
276,42.974,27.344,60,0
277.01,43.135,27.344,60,0
278,43.135,27.344,60,0
279,43.135,27.344,60,0
280,43.135,27.344,60,0
281,43.135,27.408,60,0
282,43.135,27.344,60,0
283,43.199,27.376,60,0
284,43.264,27.344,60,0
285,43.264,27.537,60,0
286,43.393,27.634,60,0
287.01,43.457,27.602,60,0
288,43.457,27.666,60,0
289,43.393,27.602,60,0
290.01,43.457,27.666,60,0
291,43.457,27.666,60,0
292.01,43.457,27.634,60,0
293,43.457,27.666,60,0
294,43.457,27.666,60,0
295,43.457,27.666,60,0
296.01,43.457,27.763,60,0
297.01,43.457,27.795,60,0
298.01,43.457,27.698,60,0
299.01,43.457,27.795,60,0
300,43.457,27.73,60,0
301,43.457,27.666,60,0
302,43.457,27.698,60,0
303,43.457,27.73,60,0
304,43.457,27.924,60,0
305.01,43.489,27.988,60,0
306,43.521,27.666,60,0
307,43.65,27.988,60,0
308,43.683,27.988,60,0
309.01,43.779,27.988,60,0
310,43.779,27.988,60,0
311.01,43.779,27.988,60,0
312.01,43.779,27.988,60,0
313,43.779,28.053,60,0
314.01,43.779,28.053,60,0
315.01,43.812,28.149,60,0
316,43.715,28.085,60,0
317.01,43.812,27.988,60,0
318,43.876,28.246,60,0
319.01,43.973,28.278,60,0
320,44.037,28.246,60,0
321.01,44.102,28.311,60,0
322.01,44.069,28.278,60,0
323,44.102,28.311,60,0
324,44.102,28.311,60,0
325,44.102,28.311,60,0
326,44.166,28.311,60,0
327.01,44.166,28.311,60,0
328.01,44.263,28.311,60,0
329.01,44.392,28.343,60,0
330,44.424,28.439,60,0
331,44.359,28.311,60,0
332,44.424,28.343,60,0
333,44.392,28.375,60,0
334.01,44.424,28.439,60,0
335.01,44.424,28.439,60,0
336,44.424,28.439,60,0
337,44.424,28.568,60,0
338,44.424,28.633,60,0
339.01,44.424,28.536,60,0
340.01,44.521,28.633,60,0
341.01,44.488,28.504,60,0
342,44.746,28.633,60,0
343.01,44.746,28.633,60,0
344.01,44.746,28.633,60,0
345,44.746,28.633,60,0
346,44.746,28.633,60,0
347.01,44.746,28.633,60,0
348,44.778,28.697,60,0
349,44.778,28.633,60,0
350.01,44.811,28.665,60,0
351.01,44.843,28.729,60,0
352,44.875,28.794,60,0
353,45.036,28.858,60,0
354.01,45.068,28.923,60,0
355.01,45.068,28.858,60,0
356,45.068,28.955,60,0
357,45.068,28.955,60,0
358.01,45.068,28.923,60,0
359.01,45.101,28.955,60,0
360,45.133,28.955,60,0
361,45.229,28.955,60,0
362.01,45.262,28.955,60,0
363,45.197,28.987,60,0
364.01,45.294,28.955,60,0
365,45.358,28.955,60,0
366,45.391,28.955,60,0
367,45.326,28.955,60,0
368,45.391,28.987,60,0
369,45.391,28.762,60,0
370,45.391,28.955,60,0
371.01,45.391,29.052,60,0
372.01,45.391,28.955,60,0
373.01,45.391,29.02,60,0
374.01,45.391,29.116,60,0
375.01,45.391,29.052,60,0
376,45.52,29.245,60,0
377.01,45.616,29.245,60,0
378.01,45.584,29.116,60,0
379.01,45.713,29.277,60,0
380,45.713,29.277,60,0
381.01,45.713,29.245,60,0
382,45.713,29.277,60,0
383.01,45.777,29.277,60,0
384,45.713,29.277,60,0
385.01,45.713,29.277,60,0
386.01,45.745,29.277,60,0
387.01,45.713,29.277,60,0
388.01,45.81,29.277,60,0
389.01,45.971,29.277,60,0
390,45.971,29.342,60,0
391,46.035,29.406,60,0
392,46.035,29.374,60,0
393.01,46.035,29.567,60,0
394.01,46.035,29.535,60,0
395,46.035,29.6,60,0
396,46.035,29.438,60,0
397,46.035,29.567,60,0
398,46.035,29.567,60,0
399.01,46.067,29.6,60,0
400.01,46.132,29.6,60,0
401.01,46.293,29.6,60,0
402.01,46.357,29.6,60,0
403.01,46.325,29.6,60,0
404.01,46.357,29.6,60,0
405.01,46.357,29.6,60,0
406,46.357,29.6,60,0
407,46.357,29.6,60,0
408.01,46.357,29.632,60,0
409,46.325,29.6,60,0
410,46.035,29.6,60,0
411.01,46.035,29.6,60,0
412,46.035,29.6,60,0
413,46.035,29.6,60,0
414,46.035,29.6,60,0
415.01,45.874,29.6,60,0
416.01,45.713,29.503,60,0
417,45.713,29.471,60,0
418.01,45.713,29.438,60,0
419,45.713,29.406,60,0
420,45.713,29.503,60,0
421.01,45.713,29.471,60,0
422,45.713,29.535,60,0
423.01,45.713,29.567,60,0
424.01,45.713,29.567,60,0
425.01,45.713,29.438,60,0
426.01,45.713,29.438,60,0
427.01,45.713,29.438,60,0
428,45.713,29.503,60,0
429.01,45.713,29.277,60,0
430,45.584,28.955,60,0
431,45.713,29.471,60,0
432,45.713,29.406,60,0
433.01,45.713,29.406,60,0
434.01,45.713,29.567,60,0
435.01,45.713,29.471,60,0
436,45.713,29.471,60,0
437,45.713,29.503,60,0
438,45.713,29.503,60,0
439.01,45.713,28.858,60,0
440.01,45.713,29.535,60,0
441,45.487,29.567,60,0
442,45.713,29.6,60,0
443,45.971,29.6,60,0
444,46.035,29.6,60,0
445,46.035,29.6,60,0
446.01,46.035,29.6,60,0
447.01,45.036,29.6,60,0
448.01,46.035,29.567,60,0
449.01,46.035,29.6,60,0
450,46.035,29.6,60,0
451.01,46.035,29.567,60,0
452,46.035,29.6,60,0
453,45.713,29.6,60,0
454,46.035,29.6,60,0
455.01,46.035,29.6,60,0
456.01,46.035,29.6,60,0
457,46.035,29.6,60,0
458.01,46.035,29.6,60,0
459,46.035,29.6,60,0
460.01,46.035,29.6,60,0
461.01,45.906,29.6,60,0
462.01,45.713,29.6,60,0
463.01,45.713,29.6,60,0
464.01,45.713,29.148,60,0
465,45.681,29.438,60,0
466.01,45.713,29.6,60,0
467,45.713,29.567,60,0
468.01,45.713,29.567,60,0
469,45.713,29.503,60,0
470,45.713,29.438,60,0
471.01,45.713,29.342,60,0
472,45.713,29.406,60,0
473,45.713,29.406,60,0
474,45.713,29.277,60,0
475.01,45.713,29.31,60,0
476.01,45.713,29.31,60,0
477,45.713,29.31,60,0
478.01,45.713,29.277,60,0
479,45.713,29.277,60,0
480,45.713,29.277,60,0
481.01,45.681,29.277,60,0
482,45.713,29.277,60,0
483,45.713,29.342,60,0
484.01,45.713,29.374,60,0
485.01,45.745,29.374,60,0
486,45.616,29.471,60,0
487,45.713,29.277,60,0
488,45.713,29.31,60,0
489,45.713,29.277,60,0
490,45.745,29.438,60,0
491.01,45.713,29.471,60,0
492,45.745,29.503,60,0
493,45.874,29.503,60,0
494,45.52,29.6,60,0
495,45.906,29.567,60,0
496,45.938,29.567,60,0
497,45.971,29.567,60,0
498,45.938,29.567,60,0
499,45.842,29.6,60,0
500,44.649,28.439,60,0
501.01,46.003,29.567,60,0
502,46.035,29.6,60,0
503,46.035,29.6,60,0
504.01,46.035,29.632,60,0
505.01,46.035,29.6,60,0
506.01,46.1,29.6,60,0
507,46.132,29.6,60,0
508.01,44.746,29.6,60,0
509,46.293,29.6,60,0
510,46.196,29.6,60,0
511,46.196,29.6,60,0
512,46.357,29.664,60,0
513,45.745,29.6,60,0
514.01,45.165,29.632,60,0
515.01,46.357,29.696,60,0
516,46.357,29.632,60,0
517.01,46.357,29.664,60,0
518,46.357,29.761,60,0
519,46.357,29.6,60,0
520,46.357,29.6,60,0
521,46.357,29.632,60,0
522,46.325,29.6,60,0
523,46.325,29.6,60,0
524,46.325,29.6,60,0
525,46.325,29.632,60,0
526.01,46.357,29.6,60,0
527,46.357,29.6,60,0
528.01,46.357,29.6,60,0
529,46.357,29.632,60,0
530.01,46.357,29.632,60,0
531,46.357,29.664,60,0
532,46.357,29.6,60,0
533.01,46.357,29.632,60,0
534.01,46.357,29.6,60,0
535,46.357,29.6,60,0
536.01,46.1,29.6,60,0
537,46.1,29.6,60,0
538,46.035,29.6,60,0
539,46.1,29.6,60,0
540,46.035,29.632,60,0
541.01,46.132,29.632,60,0
542,46.164,29.6,60,0
543,46.196,29.632,60,0
544,46.261,29.664,60,0
545,46.196,29.696,60,0
546,46.067,29.632,60,0
547,46.035,29.632,60,0
548,46.035,29.664,60,0
549.01,46.035,29.696,60,0
550.01,46.035,29.632,60,0
551.01,46.164,29.6,60,0
552,46.067,29.6,60,0
553,46.067,29.6,60,0
554,46.164,29.664,60,0
555,46.196,29.664,60,0
556,46.229,29.664,60,0
557,46.229,29.6,60,0
558,46.325,29.664,60,0
559.01,46.357,29.825,60,0
560,46.357,29.857,60,0
561,46.357,29.89,60,0
562,46.357,29.825,60,0
563,46.357,29.793,60,0
564,46.357,29.825,60,0
565,46.325,29.793,60,0
566,46.357,29.793,60,0
567,46.325,29.729,60,0
568,46.357,29.857,60,0
569,46.357,29.857,60,0
570,46.357,29.922,60,0
571,46.357,29.922,60,0
572,46.454,29.922,60,0
573,46.39,29.922,60,0
574,46.486,29.922,60,0
575.01,46.583,29.922,60,0
576,46.647,29.922,60,0
577,46.68,29.922,60,0
578.01,46.68,29.922,60,0
579,46.68,29.922,60,0
580,46.68,29.922,60,0
581.01,46.68,29.954,60,0
582,46.68,29.986,60,0
583,46.68,30.019,60,0
584,46.68,30.051,60,0
585,46.744,30.083,60,0
586.01,46.68,30.147,60,0
587,46.712,30.212,60,0
588,46.809,30.244,60,0
589.01,46.938,30.244,60,0
590,47.002,30.244,60,0
591,47.002,30.244,60,0
592,46.97,30.244,60,0
593,47.002,30.244,60,0
594,47.002,30.244,60,0
595,47.002,30.244,60,0
596,47.002,30.244,60,0
597,47.002,30.244,60,0
598,47.002,30.244,60,0
599,47.002,30.244,60,0
600,47.002,30.276,60,0
