Time,T1,T2,Q1,Q2
0,23.477,22.832,0,0
1.01,23.477,22.832,0,0
2,23.477,22.832,0,0
3,23.477,22.832,0,0
4,23.477,22.832,0,0
5,23.477,22.832,0,0
6,23.477,22.832,0,0
7,23.477,22.832,0,0
8.01,23.477,22.832,0,0
9,23.477,22.832,0,0
10,23.477,22.832,0,0
11,23.477,22.832,0,0
12,23.477,22.832,0,0
13.01,23.477,22.832,0,0
14,23.477,22.832,0,0
15.01,23.477,22.832,0,0
16,23.477,22.832,0,0
17.01,23.477,22.832,0,0
18,23.477,22.832,0,0
19,23.477,22.832,0,0
20,23.477,22.832,60,0
21,23.477,22.832,60,0
22.01,23.477,22.832,60,0
23,23.477,22.832,60,0
24,23.477,22.832,60,0
25.01,23.477,22.832,60,0
26,23.477,22.832,60,0
27.01,23.477,22.832,60,0
28,23.477,22.832,60,0
29,23.477,22.832,60,0
30,23.477,22.832,60,0
31,23.509,22.832,60,0
32,23.638,22.832,60,0
33,23.638,22.832,60,0
34,23.734,22.832,60,0
35,23.767,22.832,60,0
36,23.767,22.832,60,0
37,23.799,22.832,60,0
38,23.799,22.832,60,0
39,23.799,22.832,60,0
40,23.831,22.832,60,0
41,23.863,22.832,60,0
42,24.024,22.832,60,0
43,24.121,22.832,60,0
44,24.121,22.832,60,0
45.01,24.121,22.832,60,0
46,24.121,22.832,60,0
47,24.121,22.864,60,0
48,24.314,22.832,60,0
49,24.379,22.832,60,0
50,24.443,22.864,60,0
51,24.443,22.832,60,0
52,24.443,22.832,60,0
53,24.54,22.832,60,0
54,24.701,22.864,60,0
55,24.766,22.832,60,0
56.01,24.766,22.832,60,0
57,24.766,22.864,60,0
58,24.83,22.832,60,0
59,24.959,22.864,60,0
60,25.088,22.832,60,0
61,25.088,22.864,60,0
62,25.088,22.864,60,0
63,25.185,22.929,60,0
64,25.378,22.961,60,0
65,25.41,23.025,60,0
66,25.41,23.122,60,0
67.01,25.41,23.025,60,0
68,25.668,23.025,60,0
69.01,25.732,23.122,60,0
70,25.732,23.122,60,0
71,25.732,23.122,60,0
72,25.797,23.09,60,0
73,26.055,23.154,60,0
74,26.022,23.122,60,0
75,26.055,23.154,60,0
76,26.184,23.154,60,0
77,26.377,23.122,60,0
78,26.377,23.122,60,0
79,26.377,23.154,60,0
80.01,26.603,23.154,60,0
81,26.699,23.154,60,0
82,26.699,23.154,60,0
83,26.731,23.154,60,0
84,26.925,23.154,60,0
85,27.021,23.154,60,0
86.01,27.021,23.154,60,0
87,27.054,23.154,60,0
88,27.344,23.154,60,0
89,27.344,23.154,60,0
90.01,27.344,23.219,60,0
91.01,27.344,23.154,60,0
92,27.602,23.251,60,0
93,27.666,23.412,60,0
94,27.666,23.38,60,0
95,27.666,23.444,60,0
96,27.892,23.477,60,0
97,27.988,23.348,60,0
98,27.988,23.477,60,0
99,27.988,23.477,60,0
100,28.214,23.477,60,0
101,28.311,23.477,60,0
102,28.311,23.477,60,0
103.01,28.311,23.477,60,0
104,28.504,23.477,60,0
105,28.633,23.477,60,0
106,28.633,23.477,60,0
107,28.665,23.509,60,0
108,28.858,23.477,60,0
109,28.955,23.477,60,0
110,28.955,23.509,60,0
111,29.084,23.541,60,0
112,29.245,23.573,60,0
113,29.277,23.638,60,0
114,29.277,23.767,60,0
115,29.438,23.767,60,0
116,29.535,23.799,60,0
117,29.6,23.799,60,0
118.01,29.6,23.799,60,0
119,29.825,23.799,60,0
120,29.922,23.799,60,0
121,29.922,23.799,60,0
122,29.922,23.799,60,0
123,29.986,23.799,60,0
124,30.18,23.799,60,0
125,30.244,23.799,60,0
126,30.244,23.831,60,0
127,30.309,23.799,60,0
128,30.502,23.799,60,0
129.01,30.566,23.896,60,0
130,30.566,24.024,60,0
131,30.599,23.96,60,0
132,30.792,24.121,60,0
133,30.889,24.089,60,0
134,30.889,24.121,60,0
135.01,30.921,24.121,60,0
136,30.953,24.121,60,0
137,31.179,24.121,60,0
138,31.211,24.121,60,0
139,31.211,24.121,60,0
140,31.308,24.121,60,0
141,31.501,24.186,60,0
142,31.533,24.121,60,0
143,31.533,24.186,60,0
144,31.533,24.25,60,0
145.01,31.694,24.411,60,0
146,31.823,24.379,60,0
147,31.855,24.411,60,0
148,31.888,24.443,60,0
149,31.92,24.443,60,0
150,32.146,24.443,60,0
151.01,32.178,24.443,60,0
152,32.178,24.443,60,0
153,32.178,24.443,60,0
154,32.274,24.443,60,0
155,32.5,24.443,60,0
156,32.5,24.476,60,0
157,32.5,24.54,60,0
158,32.5,24.637,60,0
159,32.564,24.669,60,0
160.01,32.758,24.766,60,0
161,32.822,24.766,60,0
162,32.822,24.766,60,0
163,32.822,24.766,60,0
164,32.951,24.766,60,0
165,33.048,24.766,60,0
166,33.145,24.766,60,0
167.01,33.145,24.766,60,0
168,33.145,24.798,60,0
169,33.209,24.798,60,0
170,33.37,24.862,60,0
171,33.467,24.862,60,0
